AgeBP1950;Temp;1sigmauncert;Source
3090;0,17;0,30;Marcott
3110;0,18;0,30;Marcott
3130;0,18;0,30;Marcott
3150;0,18;0,30;Marcott
3170;0,19;0,30;Marcott
3190;0,19;0,30;Marcott
3210;0,20;0,31;Marcott
3230;0,21;0,31;Marcott
3250;0,21;0,31;Marcott
3270;0,22;0,31;Marcott
3290;0,24;0,31;Marcott
3310;0,26;0,31;Marcott
3330;0,28;0,31;Marcott
3350;0,28;0,31;Marcott
3370;0,27;0,31;Marcott
3390;0,26;0,31;Marcott
3410;0,25;0,31;Marcott
3430;0,24;0,31;Marcott
3450;0,23;0,31;Marcott
3470;0,21;0,31;Marcott
3490;0,20;0,31;Marcott
3510;0,20;0,30;Marcott
3530;0,19;0,30;Marcott
3550;0,19;0,30;Marcott
3570;0,19;0,31;Marcott
3590;0,20;0,31;Marcott
3610;0,22;0,30;Marcott
3630;0,24;0,30;Marcott
3650;0,26;0,30;Marcott
3670;0,28;0,30;Marcott
3690;0,30;0,29;Marcott
3710;0,31;0,29;Marcott
3730;0,33;0,29;Marcott
3750;0,34;0,29;Marcott
3770;0,36;0,29;Marcott
3790;0,36;0,29;Marcott
3810;0,37;0,29;Marcott
3830;0,38;0,29;Marcott
3850;0,39;0,29;Marcott
3870;0,39;0,29;Marcott
3890;0,40;0,29;Marcott
3910;0,42;0,29;Marcott
3930;0,43;0,29;Marcott
3950;0,44;0,29;Marcott
3970;0,45;0,29;Marcott
3990;0,46;0,29;Marcott
4010;0,48;0,30;Marcott
4030;0,49;0,29;Marcott
4050;0,51;0,29;Marcott
4070;0,52;0,29;Marcott
4090;0,53;0,29;Marcott
4110;0,54;0,29;Marcott
4130;0,56;0,29;Marcott
4150;0,57;0,29;Marcott
4170;0,58;0,29;Marcott
4190;0,58;0,29;Marcott
4210;0,59;0,29;Marcott
4230;0,59;0,28;Marcott
4250;0,60;0,29;Marcott
4270;0,61;0,28;Marcott
4290;0,62;0,28;Marcott
4310;0,62;0,28;Marcott
4330;0,63;0,28;Marcott
4350;0,64;0,28;Marcott
4370;0,65;0,28;Marcott
4390;0,65;0,27;Marcott
4410;0,66;0,26;Marcott
4430;0,66;0,26;Marcott
4450;0,65;0,25;Marcott
4470;0,64;0,25;Marcott
4490;0,63;0,25;Marcott
4510;0,62;0,25;Marcott
4530;0,62;0,24;Marcott
4550;0,61;0,24;Marcott
4570;0,60;0,23;Marcott
4590;0,59;0,23;Marcott
4610;0,58;0,23;Marcott
4630;0,58;0,23;Marcott
4650;0,57;0,23;Marcott
4670;0,57;0,23;Marcott
4690;0,57;0,23;Marcott
4710;0,57;0,23;Marcott
4730;0,56;0,23;Marcott
